title,company,location,work_type,level,compensation,link,id,scraped_date
Senior AI Engineer,Metropolis Technologies,,,,,https://www.builtinla.com/job/senior-ai-engineer/9122136,9122136,2026-04-22
CTIO-AI Engineer-Sr Associate,PwC,,,,,https://www.builtinla.com/job/ctio-ai-engineer-sr-associate/8948911,8948911,2026-04-22
Principal AI Engineer – Automation & AI,eClinical Solutions,,,,,https://www.builtinla.com/job/director-enterprise-ai/8640302,8640302,2026-04-22
"AI Native Senior Engineer, Full Stack - Senior Associate",PwC,,,,,https://www.builtinla.com/job/ai-native-senior-engineer-full-stack-senior-assocate/8823028,8823028,2026-04-22
Staff Applied AI Engineer — Auggie Platform - US (Remote),Luxury Presence,,,,,https://www.builtinla.com/job/staff-applied-ai-engineer-auggie-platform-us-remote/8923443,8923443,2026-04-22
Staff AI Engineer - Applied AI (Remote),Rula,,,,,https://www.builtinla.com/job/staff-ai-engineer-applied-ai-remote/8921079,8921079,2026-04-22
Sr. AI Engineer,Rula,,,,,https://www.builtinla.com/job/sr-ai-engineer/8918113,8918113,2026-04-22
Staff Software Engineer - AI Website Builder - US (Remote),Luxury Presence,,,,,https://www.builtinla.com/job/staff-software-engineer-ai-website-builder-us-remote/9121540,9121540,2026-04-22
Staff Machine Learning Engineer - Edge AI,Samsara,,,,,https://www.builtinla.com/job/staff-machine-learning-engineer/7823375,7823375,2026-04-22
Senior AI Controls Solutions Engineer,Phaidra,,,,,https://www.builtinla.com/job/senior-ai-controls-solutions-engineer/9117118,9117118,2026-04-22
Applied AI Health System Engineer - Senior Manager,PwC,,,,,https://www.builtinla.com/job/applied-ai-health-system-engineer-senior-manager/9021332,9021332,2026-04-22
AI Engineer,Ceres Life Insurance Company,,,,,https://www.builtinla.com/job/ai-engineer/9119538,9119538,2026-04-22
Lead Gameplay AI Engineer,That's No Moon Entertainment,,,,,https://www.builtinla.com/job/lead-gameplay-ai-engineer/9119273,9119273,2026-04-22
Sr. Applied AI Engineer,Cordial,,,,,https://www.builtinla.com/job/sr-applied-ai-engineer/8895005,8895005,2026-04-22
"Sr. AI Engineer, Labs",Higharc,,,,,https://www.builtinla.com/job/sr-ai-engineer-labs/8891711,8891711,2026-04-22
"Applied AI Engineer, Small Market Growth & Revenue Systems",Foley,,,,,https://www.builtinla.com/job/applied-ai-engineer-small-market-growth-revenue-systems/9115343,9115343,2026-04-22
AI Engineer,JAMS Software,,,,,https://www.builtinla.com/job/ai-engineer/9115293,9115293,2026-04-22
"Software AI Engineer Mid-Level,  Context Engineering",WEX Inc.,,,,,https://www.builtinla.com/job/software-ai-engineer-mid-level-context-engineering/9114817,9114817,2026-04-22
Sr Software AI Engineer 3 - Context Engineering,WEX Inc.,,,,,https://www.builtinla.com/job/sr-software-ai-engineer-3-context-engineering/9114814,9114814,2026-04-22
"Sr Staff AI Engineer, Context Engineering",WEX Inc.,,,,,https://www.builtinla.com/job/sr-staff-ai-engineer-context-engineering/9114809,9114809,2026-04-22
"AI Engineer, Global Operations",Iron Mountain,,,,,https://www.builtinla.com/job/ai-engineer-global-operations/9114713,9114713,2026-04-22
AI Engineer - United States,Pulsora,,,,,https://www.builtinla.com/job/ai-engineer-united-states/9109762,9109762,2026-04-22
Applied AI Engineer - US,Pulsora,,,,,https://www.builtinla.com/job/applied-ai-engineer-us/9109763,9109763,2026-04-22
Founding AI Engineer,Shiplight AI,,,,,https://www.builtinla.com/job/founding-ai-engineer/9107716,9107716,2026-04-22
Staff AI Engineer - AI Creator,DataCamp,,,,,https://www.builtinla.com/job/staff-ai-engineer-ai-creator/8869242,8869242,2026-04-22
Principal AI Engineer - AI Creator,DataCamp,,,,,https://www.builtinla.com/job/principal-ai-engineer-ai-creator/8869248,8869248,2026-04-22
Senior Applied AI Engineer,Ascent.io,,,,,https://www.builtinla.com/job/senior-applied-ai-engineer/9104158,9104158,2026-04-22
"Senior AI Engineer, Agentic Systems",AI Technology Partners,,,,,https://www.builtinla.com/job/senior-ai-engineer-agentic-systems/9101202,9101202,2026-04-22
AI Engineer II,Axle Informatics,,,,,https://www.builtinla.com/job/ai-engineer-ii/9101006,9101006,2026-04-22
"Senior Staff AI Engineer, Generative AI Platforms",Faraday Future,,,,,https://www.builtinla.com/job/senior-manager-generative-ai-creative/9019656,9019656,2026-04-22
Senior ServiceNow AI Engineer,CVS Health,,,,,https://www.builtinla.com/job/senior-servicenow-ai-engineer/9007383,9007383,2026-04-22
Senior Machine Learning Engineer - Edge AI,Samsara,,,,,https://www.builtinla.com/job/senior-machine-learning-engineer/7439758,7439758,2026-04-22
Software Engineer - AI Commerce,Product.ai,,,,,https://www.builtinla.com/job/software-engineer-ai-commerce/8952761,8952761,2026-04-22
Senior AI Engineer,Q-Centrix,,,,,https://www.builtinla.com/job/senior-ai-engineer/9083035,9083035,2026-04-22
"Lead AI Engineer, NLQ & Agentic Systems",Upwork,,,,,https://www.builtinla.com/job/lead-data-engineer/8332456,8332456,2026-04-22
AI Engineer,Modern Relay,,,,,https://www.builtinla.com/job/ai-engineer/9076136,9076136,2026-04-22
Sr Staff AI Engineer,Penn Mutual,,,,,https://www.builtinla.com/job/sr-staff-ai-engineer/9071068,9071068,2026-04-22
Senior AI Engineer (Core) - Supernal,Infinity Constellation,,,,,https://www.builtinla.com/job/senior-ai-engineer-core-supernal/9064868,9064868,2026-04-22
"Principal Applied AI Engineer, Finance",Genesys,,,,,https://www.builtinla.com/job/principal-applied-ai-engineer-finance/9063392,9063392,2026-04-22
Applied AI Engineer,BJAK,,,,,https://www.builtinla.com/job/applied-ai-engineer/9061797,9061797,2026-04-22
"Sr. AI Engineer, Application Engineering",Elastic,,,,,https://www.builtinla.com/job/sr-application-engineer-automation-lead/8833527,8833527,2026-04-22
AI Engineer Trainee Program (No Coding Experience Needed),Flatiron School,,,,,https://www.builtinla.com/job/ai-engineer-trainee-program-no-coding-experience-needed/9054598,9054598,2026-04-22
Accelerated AI Engineer Apprenticeship - Bletchley Fellowship,Flatiron School,,,,,https://www.builtinla.com/job/accelerated-ai-engineer-apprenticeship-bletchley-fellowship/9054596,9054596,2026-04-22
Senior AI Engineer (USA - Remote),Gurobi Optimization,,,,,https://www.builtinla.com/job/senior-ai-engineer-usa-remote/8977832,8977832,2026-04-22
Agentic AI Engineer,Whitespace (inthewhitespace.com),,,,,https://www.builtinla.com/job/agentic-ai-engineer/9048995,9048995,2026-04-22
AI Engineer,Mento,,,,,https://www.builtinla.com/job/ai-engineer/9047393,9047393,2026-04-22
AI Engineer (Agents Lead),Tambo,,,,,https://www.builtinla.com/job/ai-engineer-agents-lead/9028310,9028310,2026-04-22
