title,company,location,work_type,level,compensation,link
Staff Machine Learning Engineer (AI Platform),Smartly,"Berlin, DEU",Hybrid,Senior level,,https://builtin.com/job/staff-machine-learning-engineer-ai-product-lab/4438582
Senior Machine Learning Engineer (AI Platform),Smartly,"Berlin, DEU",Hybrid,Senior level,,https://builtin.com/job/senior-machine-learning-engineer-ai-platform/7472570
Senior Software Engineer (AI Platform),Smartly,"Berlin, DEU",Hybrid,Senior level,,https://builtin.com/job/senior-software-engineer-ai-platform/7593375
Principal AI Developer Technology Engineer,NVIDIA,2 Locations,In-Office or Remote,Expert/Leader,,https://builtin.com/job/principal-ai-developer-technology-engineer/8314040
AI Developer Technology Engineer,NVIDIA,2 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/ai-developer-technology-engineer/8314056
AI Engineer (Libra - Legal AI Assistant) (m/f/d),Wolters Kluwer,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/ai-engineer/8273513
Senior AI Engineer (Libra - Legal AI Assistant) (m/f/d),Wolters Kluwer,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer-libra-legal-ai-assistant/8276358
(Senior) AI Engineer (m/f/d),Flip (getflip.com),30 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-ai-engineer-m-f-d/7203472
Customer AI Engineer,telli,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/customer-engineer-ai/7643852
AI Engineer,Flank,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/ai-engineer/7132625
Applied AI Engineer,boam,4 Locations,In-Office,Mid level,,https://builtin.com/job/applied-ai-engineer/8249839
"Senior AI Engineer, Device Intelligence (m/f/d)",Danaher Corporation,DEU,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer-device-intelligence-m-f-d/8337222
"Senior AI Engineer, Device Intelligence (m/f/d)",Beckman Coulter Diagnostics,DEU,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer-device-intelligence-m-f-d/8336059
Senior AI Engineer,RepRisk,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer/7595940
"Staff Fullstack Engineer (Python/Vue.js), AI Engineering: Duo Chat",GitLab,31 Locations,Remote,Mid level,,https://builtin.com/job/staff-fullstack-engineer-python-vue-js-ai-engineering-duo-chat/7374624
Senior AI Engineer,QIC Digital Hub,6 Locations,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7409635
AI Engineer,QuantCo,28 Locations,Hybrid,Mid level,,https://builtin.com/job/ai-engineer/7208514
Senior AI Engineer,Horizons,28 Locations,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7906345
Senior AI Engineer,Bluefish,"Berlin, DEU",In-Office or Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7825632
Staff AI Engineer,Bluefish,"Berlin, DEU",In-Office or Remote,Senior level,,https://builtin.com/job/staff-ai-engineer/7828454
Junior AI Engineer,Nelly Solutions,"Berlin, DEU",Hybrid,Junior,,https://builtin.com/job/junior-ai-engineer/8057435
AI Engineer,Counsel Group Frankfurt,Germany,Remote,Junior,,https://builtin.com/job/ai-engineer/8305325
AI Engineer,Knowunity,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/ai-engineer/7525829
Full Stack AI Engineer,Xsolla,2 Locations,Hybrid,Junior,,https://builtin.com/job/full-stack-ai-engineer/7521540
AI Engineer,G2i,28 Locations,,Mid level,80K-120K Annually,https://builtin.com/job/ai-engineer/6952071
Senior HPC and AI Networking Performance Research and Analysis Engineer,NVIDIA,3 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-hpc-and-ai-networking-performance-research-and-analysis-engineer/8330402
Full Stack Engineer (Libra - Legal AI Assistant) (m/f/d),Wolters Kluwer,2 Locations,In-Office,Mid level,,https://builtin.com/job/full-stack-engineer-libra-legal-ai-assistant-m-f-d/7798691
Automation Engineer - AI Insights (m/f/d),Statista,2 Locations,In-Office,Mid level,,https://builtin.com/job/automation-engineer-ai-insights-m-f-d/7038109
Senior Site Reliability Engineer - AI Platform,N26,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-site-reliability-engineer-ai-platform/8386931
"Software Engineer, AI (Python)",G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/software-engineer-ai-python/7980819
"Software Engineer, AI (Rust)",G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/software-engineer-ai-rust/7980817
"Software Engineer, AI (C#)",G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/software-engineer-ai-c/7980816
