title,company,location,work_type,level,compensation,link,id,scraped_date
Senior Applied AI Engineer,GrayMatter Robotics,,,,,https://www.builtinla.com/job/senior-applied-ai-engineer/8327260,8327260,2026-03-27
NGA AI Engineer Senior Manager,PwC,,,,,https://www.builtinla.com/job/nga-ai-engineer-senior-manager/8823061,8823061,2026-03-27
Applied AI Engineer,Pager Health,,,,,https://www.builtinla.com/job/applied-ai-engineer/8865869,8865869,2026-03-27
Sr/Staff AI Engineer,BNSF Railway,,,,,https://www.builtinla.com/job/sr-staff-ai-engineer/8318455,8318455,2026-03-27
Lead AI Developer (Hybrid),Parsec Automation,,,,,https://www.builtinla.com/job/lead-ai-developer-hybrid/8490306,8490306,2026-03-27
Senior Enterprise AI Engineer,Wasabi Technologies,,,,,https://www.builtinla.com/job/senior-enterprise-ai-engineer/8348181,8348181,2026-03-27
"Agentic AI Engineer (Remote, 6-Month Contract)",Accuris,,,,,https://www.builtinla.com/job/agentic-ai-engineer-remote-6-month-contract/8816631,8816631,2026-03-27
AI Engineer,Samsara,,,,,https://www.builtinla.com/job/business-technology-ai-engineer-iv/8384879,8384879,2026-03-27
Senior Applied AI Engineer,Genius Sports,,,,,https://www.builtinla.com/job/senior-applied-ai-engineer/8668549,8668549,2026-03-27
AI Engineer,Hiya Inc.,,,,,https://www.builtinla.com/job/ai-engineer/8349500,8349500,2026-03-27
AI Engineer,Hiya Inc.,,,,,https://www.builtinla.com/job/ai-engineer/7415764,7415764,2026-03-27
"Senior Platform Engineer, AI",True Anomaly,,,,,https://www.builtinla.com/job/senior-platform-engineer-ai/8591487,8591487,2026-03-27
"Staff Platform Engineer, AI",True Anomaly,,,,,https://www.builtinla.com/job/staff-platform-engineer-ai/8591486,8591486,2026-03-27
"Staff Software Engineer, AI Runtime Systems",Crunchyroll,,,,,https://www.builtinla.com/job/staff-software-engineer-ai-runtime-systems/7799756,7799756,2026-03-27
Full Stack AI Engineer,Create Music Group,,,,,https://www.builtinla.com/job/full-stack-ai-engineer/8883724,8883724,2026-03-27
AI Engineer,Booz Allen Hamilton,,,,,https://www.builtinla.com/job/ai-engineer/8815259,8815259,2026-03-27
Senior AI Engineer,SailPoint,,,,,https://www.builtinla.com/job/senior-ai-engineer/8680298,8680298,2026-03-27
"Senior Staff Software Engineer, AI Developer Experience",Coinbase,,,,,https://www.builtinla.com/job/senior-staff-software-engineer-ai-developer-experience/8679450,8679450,2026-03-27
"GTM Engineer, Marketing Operations AI Innovation",Toast,,,,,https://www.builtinla.com/job/gtm-engineer-marketing-operations-ai-innovation/8884243,8884243,2026-03-27
"Senior Security Engineer, Agentic AI",Trail of Bits,,,,,https://www.builtinla.com/job/senior-security-engineer-agentic-ai/8883620,8883620,2026-03-27
Principal AI/ML Engineer,Onebrief,,,,,https://www.builtinla.com/job/principal-ai-ml-engineer/7730986,7730986,2026-03-27
AI Engineer,SimpleCiti Companies,,,,,https://www.builtinla.com/job/lead-ai-architect/8105138,8105138,2026-03-27
Senior Marketing AI Data Engineer,Samsara,,,,,https://www.builtinla.com/job/senior-marketing-ai-data-engineer/8180915,8180915,2026-03-27
"AI Research Engineer, Search and Context",Hex,,,,,https://www.builtinla.com/job/ai-engineer-search-and-context/8074529,8074529,2026-03-27
"Senior Manager, Solutions Architecture, AI & Developer Platform",Cloudflare,,,,,https://www.builtinla.com/job/senior-manager-solutions-architecture-ai-developer-platform/8084392,8084392,2026-03-27
Founding AI Engineer,Better Half,,,,,https://www.builtinla.com/job/founding-ai-engineer/8168967,8168967,2026-03-27
AI Engineer (Applied Scientist) III,Cedar,,,,,https://www.builtinla.com/job/ai-engineer-applied-scientist-iii/7529379,7529379,2026-03-27
